id,type0,type1,type2,type3,type4,type5,type6,type7,finishRate,userNum,userNumInFact,scoreIgnoreUndo,scoreCountUndo,group0,group1,group2,group3,group4,uploadSum,uploadAvg,uploadAvgInFact,timeSpan
40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9574468085106383,47.0,45.0,100.0,95.74468085106383,0.0,1.0,0.0,0.0,0.0,54.0,1.148936170212766,1.2,177.87
41.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6391752577319587,97.0,62.0,86.02161290322582,54.98288659793815,0.0,1.0,0.0,0.0,1.0,234.0,2.4123711340206184,3.774193548387097,3243.324731182796
42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9361702127659575,47.0,44.0,100.0,93.61702127659575,0.0,1.0,0.0,0.0,0.0,56.0,1.1914893617021276,1.2727272727272727,119.56363636363636
43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9361702127659575,47.0,44.0,100.0,93.61702127659575,0.0,1.0,0.0,0.0,0.0,50.0,1.0638297872340425,1.1363636363636365,0.39204545454545453
44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,54.0,1.08,1.2272727272727273,0.3140151515151515
45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9361702127659575,47.0,44.0,100.0,93.61702127659575,0.0,1.0,0.0,0.0,0.0,59.0,1.2553191489361701,1.3409090909090908,1.0340909090909092
46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9574468085106383,47.0,45.0,99.25933333333333,95.03553191489362,0.0,1.0,0.0,0.0,0.0,64.0,1.3617021276595744,1.4222222222222223,4.630000000000001
47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9574468085106383,47.0,45.0,100.0,95.74468085106383,0.0,1.0,0.0,0.0,0.0,88.0,1.872340425531915,1.9555555555555555,798.3022222222222
48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9574468085106383,47.0,45.0,100.0,95.74468085106383,0.0,1.0,0.0,0.0,0.0,48.0,1.0212765957446808,1.0666666666666667,0.28814814814814815
49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,53.0,1.06,1.2045454545454546,103.0121212121212
50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5106382978723404,47.0,24.0,95.83333333333333,48.93617021276596,0.0,1.0,0.0,0.0,0.0,73.0,1.553191489361702,3.0416666666666665,203.55555555555554
51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.52,50.0,26.0,96.15384615384616,50.0,0.0,0.0,0.0,0.0,1.0,43.0,0.86,1.6538461538461537,845.6544871794872
52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9148936170212766,47.0,43.0,100.0,91.48936170212765,0.0,1.0,0.0,0.0,0.0,66.0,1.4042553191489362,1.5348837209302326,6.780620155038759
53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0212765957446808,47.0,48.0,100.0,102.12765957446808,0.0,1.0,0.0,0.0,0.0,70.0,1.4893617021276595,1.4583333333333333,851.1755319148937
54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,53.0,1.06,1.2045454545454546,1.4821969696969697
55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.86,50.0,43.0,100.0,86.0,0.0,0.0,0.0,0.0,1.0,57.0,1.14,1.3255813953488371,62.10271317829457
56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,71.0,1.42,1.6136363636363635,2.250378787878788
57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,50.0,40.0,100.0,80.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.25,0.7962499999999999
58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.82,50.0,41.0,100.0,82.0,0.0,0.0,0.0,0.0,1.0,55.0,1.1,1.3414634146341464,66.17560975609757
59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,49.0,0.98,1.1136363636363635,0.3090909090909091
60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47.0,47.0,97.87234042553192,97.87234042553192,0.0,1.0,0.0,0.0,0.0,65.0,1.3829787234042554,1.3829787234042554,160.91666666666666
61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.86,50.0,43.0,100.0,86.0,0.0,0.0,0.0,0.0,1.0,53.0,1.06,1.2325581395348837,18.651937984496122
62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.86,50.0,43.0,100.0,86.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.1627906976744187,30.586434108527133
63.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,53.0,1.06,1.2045454545454546,0.9022727272727273
64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.86,50.0,43.0,100.0,86.0,0.0,0.0,0.0,0.0,1.0,52.0,1.04,1.2093023255813953,536.2937984496125
65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5319148936170213,47.0,25.0,100.0,53.191489361702125,0.0,1.0,0.0,0.0,0.0,39.0,0.8297872340425532,1.56,1088.2666666666664
