id,dim0,dim1
692,-14.1748495,28.74576
693,-12.894233,26.266861
694,-12.879024,26.26176
695,-13.831105,27.96514
696,-13.959546,28.31155
697,-12.786949,26.219452
698,-12.761654,26.0609
699,-13.146468,26.87991
700,-13.012813,26.644667
701,-13.472663,27.502043
702,-13.729722,27.962736
703,-13.281693,27.135836
704,-12.959132,26.534567
705,-13.175328,26.93241
706,-13.0544195,26.712902
707,-13.512605,27.48279
708,-13.380791,27.352293
709,-13.363936,27.31894
710,-14.16199,28.723763
711,-13.842143,28.16114
712,-15.472203,31.60166
713,-13.225628,27.044859
714,-13.452595,27.448458
715,-13.344115,27.300043
716,-15.747539,32.168373
717,-13.21406,27.061693
718,-13.282449,27.202393
719,-13.711756,27.91561
720,-13.774547,27.866697
721,-13.143753,26.814661
722,-13.418554,27.462135
723,-13.66883,27.878191
724,-13.502705,27.621552
725,-13.307208,27.229141
726,-13.55469,27.70323
727,-13.264233,27.061464
728,-13.173134,26.917645
729,-13.347138,27.226238
730,-13.500872,27.612257
731,-13.220964,26.991713
732,-13.79455,28.017132
733,-13.641826,27.76327
734,-13.561928,27.63902
735,-13.4087,27.35138
736,-13.446491,27.533247
737,-13.323682,27.217756
738,-13.617176,27.69558
739,-13.46534,27.373201
740,-13.50749,27.554665
741,-14.226382,28.820637
742,-14.082009,28.547249
743,-13.833054,28.253397
744,-13.539223,27.724957
745,-13.909355,28.286957
746,-13.434979,27.450125
747,-14.042377,28.532442
748,-13.399792,27.387877
749,-13.694449,27.877953
750,-13.420378,27.431105
751,-14.168747,28.788115
752,-13.704816,27.961128
753,-14.085522,28.644363
754,-15.838796,31.771944
755,-13.508808,27.602089
756,-14.423212,29.26218
757,-13.965467,28.38496
758,-13.641408,27.849863
759,-13.958646,28.463722
760,-13.755642,28.068365
761,-14.47912,29.227642
762,-13.871125,28.28237
763,-14.028364,28.561598
764,-13.638436,27.868376
765,-13.769885,28.104298
766,-14.418792,29.393536
767,-13.632264,27.861355
768,-14.2495985,29.095053
769,-13.937734,28.428362
770,-14.642448,29.706326
771,-14.39927,29.273487
772,-13.836451,28.252281
773,-14.270839,29.070368
774,-13.846683,28.25878
775,-14.43657,29.483797
776,-14.316132,29.126781
777,-14.8323345,30.153591
778,-14.397784,29.43754
779,-15.152618,30.808352
780,-14.520674,29.61796
781,-14.401696,29.454432
782,-14.654075,29.761837
783,-14.3457575,29.306313
784,-14.413715,29.406384
785,-14.354999,29.14689
786,-14.43537,29.49563
787,-14.470186,29.358086
788,-14.424359,29.480928
789,-15.166651,30.714773
790,-14.581012,29.737717
791,-14.596819,29.668282
792,-14.59877,29.858139
793,-15.080605,30.476776
794,-14.629222,29.8713
795,-14.436335,29.369097
796,-14.715066,30.115967
797,-14.445401,29.374664
798,-14.861385,30.372425
799,-14.627925,29.819298
800,-14.772924,30.014145
801,-14.527863,29.537832
802,-14.690221,30.000248
803,-14.466426,29.427063
804,-19.923944,40.528194
805,-14.580406,29.680273
806,-14.855005,30.178053
807,-14.722847,29.928509
808,-14.637233,29.865402
809,-14.930199,30.454123
810,-15.404688,31.16945
811,-15.019471,30.52695
812,-14.991245,30.446741
813,-14.924191,30.348665
814,-15.321299,30.903088
815,-15.058848,30.561636
816,-15.093262,30.617146
817,-15.125888,30.767612
818,-14.818104,30.088339
819,-14.931971,30.357983
820,-15.052535,30.580734
821,-14.911108,30.342476
822,-14.90324,30.296156
823,-15.474009,31.380938
824,-15.011274,30.549406
825,-15.08394,30.77767
826,-15.187744,30.743092
827,-15.120054,30.787304
828,-16.048063,32.440414
829,-14.866094,30.336424
830,-15.147572,30.861465
831,-15.956082,32.281918
832,-15.49904,31.30911
833,-15.793051,32.014378
834,-15.884835,32.16946
835,-15.297356,31.133635
836,-15.178831,30.890049
837,-15.075126,30.709436
838,-14.988918,30.520443
839,-15.669008,31.88916
840,-16.231907,32.836887
841,-16.266388,32.83282
842,-15.850299,32.122253
843,-15.153343,30.818491
844,-16.437288,33.19915
845,-15.67662,31.638273
846,-15.534047,31.341074
847,-15.51232,31.390697
848,-15.218683,30.873257
849,-15.213346,30.756065
850,-16.209871,32.77688
851,-16.1392,32.61812
852,-15.2527075,30.997448
853,-16.393835,33.02911
854,-15.627627,31.57408
855,-16.766802,33.681656
856,-15.642659,31.831575
857,-15.481559,31.372158
858,-15.6416,31.848698
859,-15.39604,31.181816
860,-15.753408,31.788893
861,-15.553584,31.411263
862,-16.04002,32.516808
863,-16.792269,33.711838
864,-15.69333,31.953325
865,-15.464726,31.374826
866,-15.325419,31.268234
867,-16.165865,32.80171
868,-15.938467,32.462032
869,-17.284119,34.85376
870,-15.333688,31.296436
871,-16.098574,32.728386
872,-15.711202,31.819702
873,-16.104774,32.666267
874,-16.085297,32.67269
875,-15.616706,31.76945
876,-15.964237,32.44664
877,-16.009804,32.760963
878,-16.002024,32.732418
879,-15.995294,32.688896
880,-15.959247,32.65949
881,-16.515797,33.626404
