id,uploadSum,0to1,1to2,2to3,3to4,4to5,5to6,6to7,7to8,8to9,9to10,10to11,11to12,12to13,13to14,14to15,15to16,16to17,17to18,18to19,19to20,20to21,21to22,22to23,23to24
96,1242,0,0,0,0,0,0,0,0,32,82,95,170,47,18,64,88,165,109,44,32,118,73,82,23
97,206,1,0,0,0,0,0,0,0,0,3,10,21,29,22,12,15,18,14,23,17,9,6,3,3
98,262,5,0,0,0,0,0,0,0,0,9,20,24,11,6,4,13,16,25,15,24,31,26,29,4
99,2091,122,11,0,0,0,0,0,0,0,22,143,105,34,48,132,136,227,110,63,67,198,168,245,260
100,218,19,3,1,0,0,0,0,0,0,0,0,1,2,0,0,6,8,23,14,3,20,45,32,41
101,227,1,0,0,0,0,0,0,0,11,23,12,16,3,8,2,16,10,8,13,19,13,13,38,21
102,153,2,0,0,0,0,0,0,0,0,0,0,6,5,5,1,13,10,7,8,27,20,19,24,6
103,232,8,0,0,0,0,0,0,0,0,3,1,4,4,3,1,0,7,7,11,26,64,37,34,22
104,579,3,0,0,0,0,0,0,0,23,61,55,48,3,0,28,76,28,51,27,41,77,19,12,27
105,428,2,0,0,0,0,0,0,0,0,37,26,10,5,9,24,52,22,18,11,30,67,58,37,20
106,207,8,7,0,0,0,0,0,0,3,23,10,18,12,16,5,5,7,11,17,15,11,9,20,10
107,250,0,0,0,0,0,0,0,0,0,1,3,14,13,6,4,4,12,10,59,32,41,34,12,5
108,38,0,0,0,0,0,0,0,0,7,0,0,4,4,8,7,3,1,1,0,0,0,0,3,0
109,244,35,28,14,8,5,8,4,5,6,12,6,6,7,0,0,0,3,10,10,19,21,12,5,20
110,761,0,0,0,0,0,0,0,0,10,50,59,33,6,0,8,31,164,51,22,98,154,23,43,9
111,218,3,0,0,0,0,0,0,0,2,27,16,11,0,0,6,9,14,6,14,19,31,25,23,12
112,141,1,0,0,0,0,0,0,0,0,2,2,3,4,9,3,15,11,3,0,5,16,22,19,26
113,239,1,0,0,0,0,0,0,0,3,18,16,9,7,8,12,8,23,6,9,27,37,20,27,8
114,257,0,0,0,0,0,0,0,0,2,6,15,15,13,19,24,29,22,19,6,13,32,17,19,6
115,221,0,0,0,0,0,0,0,0,8,11,20,21,9,11,2,6,23,21,20,24,28,7,10,0
116,199,3,0,0,0,0,0,0,0,2,6,5,23,12,25,8,14,23,22,22,19,9,1,2,3
117,238,0,0,0,0,0,0,0,0,4,4,11,15,4,15,43,20,25,26,26,17,11,5,10,2
118,63,0,0,0,0,0,0,0,0,0,1,0,6,0,2,3,7,4,3,20,6,4,5,2,0
119,235,40,42,7,0,0,0,0,0,0,5,8,10,16,4,2,2,2,7,6,2,0,5,37,40
120,223,16,0,0,0,0,0,0,0,1,2,2,7,14,7,5,10,16,22,16,13,15,34,27,16
121,93,9,6,3,0,0,0,0,0,0,0,2,4,0,1,3,7,4,4,4,4,5,11,13,13
122,180,18,2,0,0,0,0,0,0,0,2,6,11,17,2,3,1,6,14,19,23,18,7,15,16
123,204,0,0,0,0,0,0,0,0,0,0,23,40,2,2,14,25,19,11,3,8,11,24,16,6
124,208,0,0,0,0,0,0,0,0,0,0,9,7,6,16,26,22,20,24,29,22,9,12,5,1
125,714,0,0,0,0,0,0,0,0,0,2,10,7,17,16,7,9,12,111,137,87,165,118,16,0
126,131,7,7,0,0,0,0,0,0,3,8,7,5,5,6,6,9,6,8,7,11,6,10,14,6
127,536,0,0,0,0,0,0,0,0,0,23,26,12,6,7,33,58,103,53,47,58,56,45,9,0
128,328,73,7,0,0,0,0,0,0,0,0,7,18,29,11,5,21,25,38,26,10,14,12,12,20
129,127,7,7,5,2,0,0,0,0,0,5,5,5,5,2,0,2,5,15,2,0,14,15,19,12
130,307,20,9,0,0,0,0,0,0,0,24,24,24,9,11,3,0,18,15,4,13,22,29,42,40
131,173,4,0,0,0,0,0,0,0,0,4,11,30,8,5,6,13,3,3,8,1,9,7,22,39
132,218,1,0,0,0,0,0,0,0,0,0,4,18,8,9,9,4,16,20,19,23,40,33,12,2
133,517,0,5,8,0,0,0,0,0,0,3,41,52,79,21,59,35,17,69,46,23,27,20,8,4
134,554,0,0,0,0,0,0,0,0,10,50,54,66,4,16,40,65,19,24,16,14,33,91,35,17
135,39,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,7,2,9,8,5
136,217,0,0,0,0,0,0,0,6,14,22,22,14,9,2,5,8,4,13,11,40,18,16,11,2
137,273,0,0,0,0,0,0,0,0,0,26,30,35,7,6,11,26,29,19,11,23,28,12,5,5
138,602,0,0,0,0,0,0,0,0,0,1,15,25,1,1,8,10,30,43,64,135,86,78,64,41
140,215,4,0,0,0,0,0,0,0,0,0,5,18,18,12,16,21,25,26,15,9,9,12,15,10
141,440,2,0,0,0,0,0,0,4,16,27,53,22,5,7,19,20,11,14,21,29,72,77,32,9
142,719,68,12,0,0,0,0,0,0,8,39,33,44,45,39,56,52,85,42,32,75,11,5,30,43
143,244,31,16,1,0,0,0,0,1,2,12,15,9,1,2,11,26,24,11,6,15,18,13,19,11
144,476,0,0,0,0,0,0,0,0,0,0,0,6,5,32,51,35,57,43,55,42,33,63,29,25
145,194,0,0,0,0,0,0,0,0,0,1,2,5,5,11,9,8,14,23,8,42,36,6,20,4
146,415,5,0,0,0,0,0,0,0,0,16,11,9,12,6,8,5,22,29,22,23,81,74,53,39
147,214,20,4,0,0,0,0,0,0,0,4,6,12,21,9,10,15,16,16,14,3,13,15,21,15
148,232,6,1,0,0,0,0,0,0,0,6,20,37,13,4,2,7,3,10,9,3,16,45,29,21
149,287,0,0,0,0,0,0,0,0,0,5,11,15,39,30,11,11,45,46,10,26,31,6,1,0
150,51,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,5,5,2,2,5,4,12,2
151,383,0,0,0,0,0,0,0,0,5,47,43,37,34,33,53,10,13,15,12,15,19,23,12,12
152,1111,34,48,0,0,0,0,0,0,0,18,22,56,15,30,106,110,155,87,38,119,65,87,68,53
153,241,0,0,0,0,0,0,0,0,0,36,62,17,16,17,48,27,7,5,5,1,0,0,0,0
154,103,0,0,0,0,0,0,0,0,0,2,8,9,0,2,14,13,13,5,2,12,1,4,13,5
155,875,31,27,9,0,0,0,0,0,0,3,67,60,2,7,13,12,14,17,34,96,114,150,156,63
156,182,0,2,0,0,0,0,0,0,0,2,2,0,5,8,3,19,14,10,14,14,4,18,50,17
157,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,3,1,3,2,0,0,0
158,816,3,2,1,0,0,0,0,0,0,0,2,20,12,9,70,85,23,42,11,19,20,119,39,339
160,260,1,0,0,0,0,0,0,0,0,30,16,24,9,5,24,24,13,22,29,21,9,9,10,14
161,198,0,0,0,0,0,0,0,0,0,19,5,12,1,7,9,14,6,1,11,17,62,19,8,7
162,1522,0,0,0,0,0,0,0,0,0,0,16,188,48,199,87,97,93,168,169,75,216,65,51,50
163,394,0,0,0,0,0,0,0,0,0,15,77,59,26,17,14,23,47,51,27,4,9,5,9,11
164,175,14,4,0,0,0,0,0,0,0,0,1,7,7,4,11,13,4,18,5,8,1,13,41,24
165,205,3,0,0,0,0,0,0,0,0,0,5,12,9,8,16,15,6,9,11,12,11,25,36,27
166,272,0,0,0,0,0,0,0,0,0,1,9,7,2,16,27,47,50,26,20,8,3,19,31,6
167,320,0,0,0,0,0,0,0,0,7,19,16,13,6,5,11,11,23,11,30,49,70,24,15,10
168,256,0,0,0,0,0,0,0,0,0,21,35,37,14,0,0,4,7,28,34,2,19,41,13,1
169,213,0,0,0,0,0,0,0,0,0,0,53,1,0,0,0,90,0,0,34,5,9,18,3,0
170,198,4,0,0,0,0,0,0,3,0,24,24,19,0,5,6,9,1,0,7,42,34,16,0,4
171,305,0,0,0,0,0,0,0,0,0,0,0,14,16,3,30,36,50,41,25,46,26,13,5,0
173,679,41,37,56,0,0,0,0,0,37,79,32,36,3,0,1,35,33,28,48,23,40,63,49,38
174,250,3,0,0,0,0,0,0,0,0,11,19,20,11,5,4,4,6,12,5,30,23,57,24,16
175,215,24,25,7,0,0,0,0,0,4,7,12,6,5,0,6,4,6,6,7,5,27,14,33,17
176,355,21,32,1,0,0,0,0,6,12,17,11,8,5,10,15,41,34,19,5,16,43,19,18,22
177,245,2,0,0,0,0,0,0,0,0,0,6,25,41,30,19,15,30,41,7,3,18,8,0,0
178,314,8,0,0,0,0,0,1,10,9,29,17,11,1,4,7,22,12,3,2,19,19,46,57,37
179,190,15,2,0,0,0,0,0,0,2,8,6,2,0,1,1,12,25,28,11,5,2,32,29,9
180,226,4,0,0,0,0,0,0,0,0,4,6,12,8,22,5,5,7,10,7,24,28,44,19,21
181,66,5,0,0,0,0,0,0,0,0,1,1,3,0,5,9,8,5,0,0,0,0,1,17,11
182,328,0,0,0,0,0,0,0,0,0,13,16,19,2,8,24,35,32,23,21,34,51,35,12,3
183,830,18,0,0,0,0,0,0,0,2,119,69,124,54,0,0,16,46,69,46,31,59,89,39,49
184,219,6,2,0,0,0,0,0,0,1,16,8,6,1,5,7,7,5,13,24,25,23,24,24,22
185,122,0,0,0,0,0,0,1,4,13,14,5,12,4,3,3,4,13,16,13,8,4,2,0,3
186,242,2,0,0,0,0,0,0,0,0,9,6,24,25,14,15,11,10,19,10,23,26,37,2,9
187,345,32,0,0,0,0,0,0,0,0,20,43,52,27,18,2,1,25,39,36,6,2,0,8,34
188,194,0,0,0,0,0,0,0,0,2,2,13,17,11,9,4,4,14,38,23,5,10,20,17,5
189,233,0,0,0,0,0,0,0,0,0,15,18,26,8,2,6,10,11,14,8,13,23,35,31,13
190,206,5,0,0,0,0,0,0,0,0,0,3,8,2,6,0,4,21,34,32,17,20,27,14,13
191,271,9,4,0,0,0,0,0,0,0,0,7,15,17,34,20,9,7,21,18,31,33,21,13,12
192,250,0,0,0,0,0,0,0,0,5,11,13,13,14,11,12,26,16,21,17,19,21,24,16,11
193,624,30,19,1,0,0,0,0,0,9,28,48,27,17,0,15,6,17,16,9,77,38,44,121,102
194,357,0,0,0,0,0,0,0,0,0,7,15,19,27,25,14,13,22,47,21,39,44,35,19,10
195,308,0,0,0,0,0,0,0,0,0,1,8,22,14,23,12,21,26,37,16,40,60,24,4,0
196,523,1,0,0,0,0,0,0,0,0,2,26,13,19,3,7,33,34,15,26,10,53,81,121,79
197,241,0,0,0,0,0,0,0,0,0,13,16,26,3,2,4,11,38,31,25,7,29,25,11,0
198,779,0,0,0,0,0,0,0,0,0,58,15,15,56,18,45,42,41,174,79,54,53,33,58,38
199,210,0,0,0,0,0,0,0,0,6,36,19,9,5,0,1,1,14,27,10,24,33,23,2,0
200,280,1,0,0,0,0,0,0,0,1,24,20,15,2,0,2,10,28,20,10,20,18,33,58,18
201,189,0,0,0,0,0,0,0,0,0,0,35,9,7,11,12,6,47,14,3,3,12,8,12,10
202,382,0,0,0,0,0,0,0,0,0,0,0,17,24,11,10,47,47,53,21,10,71,44,25,2
203,288,0,0,0,0,0,0,0,0,5,14,51,48,22,3,1,20,17,31,22,11,11,14,14,4
204,340,18,5,0,0,0,0,0,0,0,8,1,19,24,3,3,23,55,31,56,10,7,35,29,13
205,653,88,0,0,0,0,0,0,0,35,93,91,104,2,0,5,24,21,40,3,22,22,29,36,38
206,214,0,1,0,0,0,0,0,0,0,0,1,8,19,0,1,8,20,34,15,0,8,36,47,16
207,251,12,7,0,0,0,0,0,0,4,7,12,30,6,2,9,12,18,18,10,34,28,7,14,21
208,297,33,8,11,0,0,0,0,0,0,3,0,3,14,17,12,11,10,12,31,5,17,35,43,32
209,228,0,0,0,0,0,0,0,0,0,7,11,11,6,22,4,26,27,27,8,15,25,19,16,4
210,224,0,0,0,0,0,0,0,0,17,61,33,42,9,0,3,19,7,5,0,12,4,10,1,1
211,230,0,0,0,0,0,0,0,0,9,7,5,12,1,38,10,18,22,46,50,2,1,9,0,0
212,255,0,0,0,0,0,0,0,0,0,4,12,2,1,12,10,5,10,1,1,28,105,37,26,1
213,1214,61,64,10,57,48,0,0,7,42,47,66,78,68,57,135,166,91,14,61,91,2,4,12,33
214,1004,24,35,45,30,11,0,0,0,34,43,58,56,20,53,13,1,4,37,31,39,144,83,137,106
215,598,26,14,68,27,19,4,0,0,0,0,0,2,4,10,10,15,29,79,17,28,65,60,64,57
216,415,1,0,0,0,0,0,0,0,7,13,36,27,23,8,3,19,37,46,40,53,27,28,27,20
217,215,0,0,0,0,0,0,0,0,0,2,1,8,11,16,13,26,32,16,30,35,18,7,0,0
218,303,36,39,31,2,0,0,0,0,0,0,0,18,16,17,8,8,4,8,31,8,9,13,25,30
219,232,17,0,0,0,0,0,0,0,0,1,6,13,4,1,2,2,3,12,0,14,32,31,39,55
220,1100,4,0,0,0,0,0,0,0,0,14,40,25,89,29,0,13,45,58,91,94,147,202,124,125
